Chr,Strand,Start,Stop,nbexons
chr1,+,11873,14409,3
chr1,-,17368,17436,1
chr1,-,17368,17436,1
chr1,-,17368,17436,1
chr1,-,17368,17436,1
chr1,+,30365,30503,1
chr1,+,30365,30503,1
chr1,+,30365,30503,1
chr1,+,30365,30503,1
chr1,-,34610,36081,3
chr1,-,34610,36081,3
chr1,-,34610,36081,3
chr1,-,134772,140566,3
chr1,-,187890,187958,1
chr1,-,187890,187958,1
chr1,-,187890,187958,1
chr1,-,187890,187958,1
chr1,-,205128,206597,3
chr1,-,490755,495445,3
chr1,-,490755,495445,3
chr1,-,627379,629009,3
chr1,-,632324,632413,1
chr1,-,725758,730351,3
chr1,-,764864,778688,7
chr1,+,817370,819834,2
chr1,-,826205,827522,1
chr1,-,868070,876802,3
chr1,-,916817,919692,4
chr1,-,916817,919692,4
chr1,+,99850488,99924023,34
chr1,-,156668762,156677397,4
chr1,+,1632180,1634654,8
chr1,-,50441262,50960264,19
chr1,-,1081817,1116356,12
chr1,-,1081817,1116356,10
chr1,-,159951491,159954254,4
chr1,+,228149713,228159826,2
chr1,+,32200385,32205390,6
chr1,-,1296109,1296170,1
chr1,-,1304728,1304812,1
chr1,+,1308579,1311677,7
chr1,-,1312501,1312566,1
chr1,-,1339649,1339708,1
chr1,+,24415749,24454824,8
chr1,+,24415749,24472983,11
chr1,+,24415749,24472983,12
chr1,+,24415749,24472983,13
chr1,+,24415749,24472983,9
chr1,-,1385710,1399338,13
chr1,+,39738844,39763914,10
chr1,+,203795536,203854128,20
chr1,-,1385710,1399342,14
chr1,-,1385710,1399342,14
chr1,+,1399529,1402046,3
chr1,-,1430156,1434573,2
chr1,-,1430156,1434573,2
chr1,-,1430156,1434573,2
chr1,+,232950530,232978802,4
chr1,-,232984135,233295713,34
chr1,-,1702383,1724565,20
chr1,-,1702383,1724565,20
chr1,+,109620580,109632055,18
chr1,-,2049200,2050070,3
chr1,+,19643713,19658456,4
chr1,-,113894194,113904923,10
chr1,-,2181793,2183875,2
chr1,-,2189548,2194775,4
chr1,-,2350414,2352661,1
chr1,-,2374853,2391751,7
chr1,-,244408491,244452134,13
chr1,-,2549919,2557011,7
chr1,+,2566534,2584534,4
chr1,+,3127974,3128035,1
chr1,-,220057481,220089853,8
chr1,-,3560695,3560790,1
chr1,-,3947148,3948980,3
chr1,+,4412050,4424684,6
chr1,+,4571486,4583704,5
chr1,-,5862671,5862741,1
chr1,+,19665286,19680966,3
chr1,-,6204839,6205780,3
chr1,-,6429833,6429896,1
chr1,-,37956979,37990110,15
chr1,+,6724744,6730012,2
chr1,+,6727526,6730012,2
chr1,-,205434885,205456086,2
chr1,-,7382486,7389754,3
chr1,-,7388182,7389754,3
chr1,-,7388182,7389754,3
chr1,+,8208671,8215208,4
chr1,+,8424644,8435016,4
chr1,-,8494799,8494913,1
chr1,-,8866501,8866590,1
chr1,+,8878834,8879884,2
chr1,+,45550782,45570051,10
chr1,-,9148010,9182338,2
chr1,+,9182203,9192085,3
chr1,-,9425093,9428916,2
chr1,-,9425093,9428996,2
chr1,-,9652609,9654586,2
chr1,-,9672425,9687574,3
chr1,-,9672425,9687574,2
chr1,-,9680844,9687574,2
chr1,+,9967380,9967458,1
chr1,+,9997196,10016020,5
chr1,-,1373730,1375182,4
chr1,-,1373729,1375200,4
chr1,+,10298965,10299070,1
chr1,+,10298965,10299070,1
chr1,+,10430101,10452003,6
chr1,+,10430101,10452003,5
chr1,+,10430101,10452003,4
chr1,+,10430746,10442815,5
chr1,+,10430746,10452003,4
chr1,+,155323936,155331118,9
chr1,-,215622893,216423396,72
chr1,+,11099674,11102106,2
chr1,+,11099674,11102106,2
chr1,+,11100018,11102106,2
chr1,-,36136568,36149514,5
chr1,+,11143897,11149538,4
chr1,+,11609530,11613354,3
chr1,+,147242640,147295766,23
chr1,+,155610187,155614825,13
chr1,+,155745767,155750688,13
chr1,-,11777076,11779619,3
chr1,-,155247204,155255483,11
chr1,+,11840318,11847616,4
chr1,+,12029157,12029222,1
chr1,+,12166942,12167038,1
chr1,+,12507245,12507397,1
chr1,+,12507245,12507397,1
chr1,-,12578956,12579023,1
chr1,+,12716114,12728759,3
chr1,-,12822685,12823223,2
chr1,+,159781002,159782546,2
chr1,-,13094514,13099717,4
chr1,-,13094514,13099717,4
chr1,-,230906240,230978872,21
chr1,+,13127068,13132274,4
chr1,+,13127068,13132274,4
chr1,-,13196187,13201409,4
chr1,-,13341891,13347134,4
chr1,+,15153710,15220480,3
chr1,-,6783891,6784980,3
chr1,-,14348954,14419973,5
chr1,-,156292686,156295689,6
chr1,+,15526812,15571733,15
chr1,+,24416024,24472983,12
chr1,-,15834214,15848147,2
chr1,+,15871148,15905467,2
chr1,-,200644036,200669736,8
chr1,-,16514121,16514285,1
chr1,-,16514121,16514285,1
chr1,-,16514121,16514285,1
chr1,-,16514121,16514285,1
chr1,-,16533890,16535652,2
chr1,+,16548913,16548987,1
chr1,-,169394869,169427474,6
chr1,-,16618255,16630906,7
chr1,+,16645573,16650420,14
chr1,-,16666784,16666948,1
chr1,-,16666784,16666948,1
chr1,-,16666784,16666948,1
chr1,-,16666784,16666948,1
chr1,+,16681254,16681328,1
chr1,-,16691217,16720157,11
chr1,+,16740515,16740679,1
chr1,+,16740515,16740679,1
chr1,+,16740515,16740679,1
chr1,+,16740515,16740679,1
chr1,-,16858948,16859021,1
chr1,-,16888537,16889478,2
chr1,-,16888537,16889478,2
chr1,-,16888537,16889666,2
chr1,-,16888537,16889666,2
chr1,+,16895979,16896143,1
chr1,+,16895979,16896143,1
chr1,+,16895979,16896143,1
chr1,+,16895979,16896143,1
chr1,+,44739817,44767766,20
chr1,+,17277888,17277975,1
chr1,-,111499428,111504121,2
chr1,-,111499428,111504121,2
chr1,+,18065656,18074411,3
chr1,-,18883201,18883275,1
chr1,+,19210385,19230163,2
chr1,+,19210385,19240704,2
chr1,-,32364632,32394461,10
chr1,-,32364632,32394461,9
chr1,-,32364632,32394461,11
chr1,-,1385710,1399342,12
chr1,-,19265981,19274122,7
